date,disbursement_amount
2026-06-27,58.65
2026-06-28,76.93
2026-06-29,155.67
2026-06-30,168.77
2026-07-01,170.73
2026-07-02,169.56
2026-07-03,191.87
2026-07-04,61.46
2026-07-05,59.76
2026-07-06,139.12
2026-07-07,140.65
2026-07-08,130.22
2026-07-09,126.99
2026-07-10,144.24
2026-07-11,63.82
2026-07-12,54.17
2026-07-13,122.2
2026-07-14,137.48
2026-07-15,150.14
2026-07-16,135.18
2026-07-17,160.57
2026-07-18,61.37
2026-07-19,60.3
2026-07-20,140.87
2026-07-21,133.65
2026-07-22,137.03
2026-07-23,137.4
2026-07-24,151.82
2026-07-25,66.94
2026-07-26,59.96
2026-07-27,131.07
2026-07-28,138.86
2026-07-29,150.64
2026-07-30,156.24
2026-07-31,179.47
2026-08-01,82.89
2026-08-02,79.24
2026-08-03,169.66
2026-08-04,140.79
2026-08-05,144.26
2026-08-06,139.3
2026-08-07,156.45
2026-08-08,53.34
2026-08-09,54.84
2026-08-10,134.26
2026-08-11,132.47
2026-08-12,135.04
2026-08-13,136.54
2026-08-14,159.85
2026-08-15,60.9
2026-08-16,64.26
2026-08-17,136.73
2026-08-18,124.52
2026-08-19,130.77
2026-08-20,135.58
2026-08-21,149.69
2026-08-22,65.03
2026-08-23,70.63
2026-08-24,143.9
2026-08-25,135.34
2026-08-26,145.6
2026-08-27,137.58
2026-08-28,155.21
2026-08-29,67.09
2026-08-30,68.98
2026-08-31,155.03
